@RELATION players

@ATTRIBUTE gp numeric
@ATTRIBUTE age numeric
@ATTRIBUTE min numeric
@ATTRIBUTE fgm numeric
@ATTRIBUTE fga numeric
@ATTRIBUTE ftm numeric
@ATTRIBUTE fta numeric
@ATTRIBUTE reb numeric
@ATTRIBUTE ast numeric
@ATTRIBUTE stl numeric
@ATTRIBUTE blk numeric
@ATTRIBUTE tov numeric
@ATTRIBUTE pts numeric
@ATTRIBUTE season numeric
@ATTRIBUTE fppg numeric

@DATA
82,23,35.2,7.9,16,4.7,6,6,1.6,0.6,1.5,2.1,20.4,NaN,16
13,22,6.5,0.7,2.2,0.5,1.1,1.8,0,0.2,0.2,0.6,1.9,NaN,12
82,27,13.3,1.8,4.8,0.8,1.1,1.1,2.3,0.7,0.1,0.9,4.9,NaN,12.9
78,24,25.2,4.7,11.5,2,2.5,3.3,1.7,0.9,0.5,1.2,12.8,NaN,8.8
76,27,26.4,4.5,9,2.8,3.8,4.6,0.8,0.5,0.4,1.4,11.9,NaN,15.5
64,31,18.5,1.9,4.3,0.6,0.7,1.6,2,0.3,0,0.9,4.8,NaN,0
59,29,31.9,7.3,14.3,2.9,4.1,9.6,2.5,0.8,0.3,2.5,17.5,NaN,21.9
49,28,32.5,4.1,10.5,1.2,1.5,4.1,2.3,1.6,0.2,1.2,11.5,NaN,12.8
77,27,35.7,8.9,19.5,6.6,7.9,7.3,2.9,0.9,0.6,2.7,25.6,NaN,24.8
29,31,29.9,5.9,13,2.3,3,4.1,1.6,1,0.3,1.7,15,NaN,12.1
52,26,10.4,1.4,3.5,0.5,0.8,1.4,0.3,0.3,0.1,0.3,4,NaN,9.9
77,28,33,4.6,10.8,1.2,1.4,6.7,1.2,0.6,1,0.9,12.7,NaN,14.8
19,32,9,0.6,2.3,0.1,0.2,0.9,0.7,0.3,0.1,0.3,1.7,NaN,0
76,26,21.9,4.1,9.3,1.2,1.5,3.9,0.6,0.6,0.6,0.9,11.1,NaN,8.2
78,23,22.3,3.6,8.4,1.5,1.8,3.6,1.6,0.5,0.2,0.9,9.8,NaN,11.4
72,34,32.1,4.7,11,5.3,5.8,2.6,5.4,1,0.2,2.5,16.8,NaN,16.2
45,32,16.3,1.8,3,1.9,3,4.9,0.4,0.5,1.3,0.6,5.6,NaN,10.1
77,27,36.3,6.8,13.7,5,6.1,8.3,1.9,0.8,0.6,1.8,18.7,NaN,23.3
44,24,20.1,2.7,6.2,1.7,2,2,1.1,0.7,0.3,0.8,7.3,NaN,0
51,28,15.2,1,2.5,0.3,0.5,1,2.3,0.3,0,1.2,2.5,NaN,7.8
14,25,9.9,0.6,1.5,1.1,1.4,2.3,0.2,0.2,0.6,0.7,2.4,NaN,3.8
32,29,26.2,5.5,11.8,1.3,1.8,7,1.4,0.5,1.5,1.8,12.4,NaN,20.4
