@RELATION players

@ATTRIBUTE playerName string
@ATTRIBUTE age numeric
@ATTRIBUTE height numeric
@ATTRIBUTE weight numeric
@ATTRIBUTE numPosition numeric
@ATTRIBUTE season {"2009-10","2010-11","2011-12","2012-13","2013-14","2014-15","2015-16","2016-17","2017-18","2018-19"}
@ATTRIBUTE numSeason numeric
@ATTRIBUTE seasonExp numeric
@ATTRIBUTE teamAbbreviation string
@ATTRIBUTE school string
@ATTRIBUTE draftNumber numeric
@ATTRIBUTE gp numeric
@ATTRIBUTE min numeric
@ATTRIBUTE fgm numeric
@ATTRIBUTE fga numeric
@ATTRIBUTE ftm numeric
@ATTRIBUTE fta numeric
@ATTRIBUTE reb numeric
@ATTRIBUTE ast numeric
@ATTRIBUTE stl numeric
@ATTRIBUTE blk numeric
@ATTRIBUTE tov numeric
@ATTRIBUTE pts numeric
@ATTRIBUTE fG3M numeric
@ATTRIBUTE fG3A numeric
@ATTRIBUTE oreb numeric
@ATTRIBUTE dreb numeric
@ATTRIBUTE blka numeric
@ATTRIBUTE pf numeric
@ATTRIBUTE pfd numeric
@ATTRIBUTE plusMinus numeric
@ATTRIBUTE dD2 numeric
@ATTRIBUTE tD3 numeric
@ATTRIBUTE post_gp numeric
@ATTRIBUTE post_min numeric
@ATTRIBUTE post_fgm numeric
@ATTRIBUTE post_fga numeric
@ATTRIBUTE post_ftm numeric
@ATTRIBUTE post_fta numeric
@ATTRIBUTE post_reb numeric
@ATTRIBUTE post_ast numeric
@ATTRIBUTE post_stl numeric
@ATTRIBUTE post_blk numeric
@ATTRIBUTE post_tov numeric
@ATTRIBUTE post_pts numeric
@ATTRIBUTE post_fG3M numeric
@ATTRIBUTE post_fG3A numeric
@ATTRIBUTE post_oreb numeric
@ATTRIBUTE post_dreb numeric
@ATTRIBUTE post_blka numeric
@ATTRIBUTE post_pf numeric
@ATTRIBUTE post_pfd numeric
@ATTRIBUTE post_plusMinus numeric
@ATTRIBUTE post_dD2 numeric
@ATTRIBUTE post_tD3 numeric
@ATTRIBUTE pre_post_diff_gp numeric
@ATTRIBUTE pre_post_diff_min numeric
@ATTRIBUTE pre_post_diff_fgm numeric
@ATTRIBUTE pre_post_diff_fga numeric
@ATTRIBUTE pre_post_diff_ftm numeric
@ATTRIBUTE pre_post_diff_fta numeric
@ATTRIBUTE pre_post_diff_reb numeric
@ATTRIBUTE pre_post_diff_ast numeric
@ATTRIBUTE pre_post_diff_stl numeric
@ATTRIBUTE pre_post_diff_blk numeric
@ATTRIBUTE pre_post_diff_tov numeric
@ATTRIBUTE pre_post_diff_pts numeric
@ATTRIBUTE pre_post_diff_fG3M numeric
@ATTRIBUTE pre_post_diff_fG3A numeric
@ATTRIBUTE pre_post_diff_oreb numeric
@ATTRIBUTE pre_post_diff_dreb numeric
@ATTRIBUTE pre_post_diff_blka numeric
@ATTRIBUTE pre_post_diff_pf numeric
@ATTRIBUTE pre_post_diff_pfd numeric
@ATTRIBUTE pre_post_diff_plusMinus numeric
@ATTRIBUTE pre_post_diff_dD2 numeric
@ATTRIBUTE pre_post_diff_tD3 numeric
@ATTRIBUTE prev_tot_gp numeric
@ATTRIBUTE prev_tot_min numeric
@ATTRIBUTE prev_tot_fgm numeric
@ATTRIBUTE prev_tot_fga numeric
@ATTRIBUTE prev_tot_ftm numeric
@ATTRIBUTE prev_tot_fta numeric
@ATTRIBUTE prev_tot_reb numeric
@ATTRIBUTE prev_tot_ast numeric
@ATTRIBUTE prev_tot_stl numeric
@ATTRIBUTE prev_tot_blk numeric
@ATTRIBUTE prev_tot_tov numeric
@ATTRIBUTE prev_tot_pts numeric
@ATTRIBUTE prev_tot_fG3M numeric
@ATTRIBUTE prev_tot_fG3A numeric
@ATTRIBUTE prev_tot_oreb numeric
@ATTRIBUTE prev_tot_dreb numeric
@ATTRIBUTE prev_tot_blka numeric
@ATTRIBUTE prev_tot_pf numeric
@ATTRIBUTE prev_tot_pfd numeric
@ATTRIBUTE prev_tot_plusMinus numeric
@ATTRIBUTE prev_tot_dD2 numeric
@ATTRIBUTE prev_tot_tD3 numeric
@ATTRIBUTE curr_tot_gp numeric
@ATTRIBUTE curr_tot_min numeric
@ATTRIBUTE curr_tot_fgm numeric
@ATTRIBUTE curr_tot_fga numeric
@ATTRIBUTE curr_tot_ftm numeric
@ATTRIBUTE curr_tot_fta numeric
@ATTRIBUTE curr_tot_reb numeric
@ATTRIBUTE curr_tot_ast numeric
@ATTRIBUTE curr_tot_stl numeric
@ATTRIBUTE curr_tot_blk numeric
@ATTRIBUTE curr_tot_tov numeric
@ATTRIBUTE curr_tot_pts numeric
@ATTRIBUTE curr_tot_fG3M numeric
@ATTRIBUTE curr_tot_fG3A numeric
@ATTRIBUTE curr_tot_oreb numeric
@ATTRIBUTE curr_tot_dreb numeric
@ATTRIBUTE curr_tot_blka numeric
@ATTRIBUTE curr_tot_pf numeric
@ATTRIBUTE curr_tot_pfd numeric
@ATTRIBUTE curr_tot_plusMinus numeric
@ATTRIBUTE curr_tot_dD2 numeric
@ATTRIBUTE curr_tot_tD3 numeric
@ATTRIBUTE curr_tot_fppg numeric
@ATTRIBUTE prev_tot_fppg numeric
@ATTRIBUTE fppg numeric

@DATA
"Aaron Gray",-0.2764507454597186,0.6164868405023969,0.9575175050532264,1.8278713332175913,"2010-11",-1.5004728310007531,-0.47613412361770724,"CHI","Pittsburgh",1.9333725108545408,-0.49214982562498627,-0.7918551628194674,-0.7832063207062168,-0.9821300532983656,-0.7685364372884539,-0.665000497544461,0.20961510777610232,-0.8125709646798182,-0.8230655036161765,-0.29690309505721113,-0.46934856118981366,-0.8767060788631069,-0.928832072658071,-1.011293199420429,0.5515587378843939,-0.022531321528021463,-0.36636355199162984,0.7817073560776069,-0.7504609067644645,0.37506929638046105,-0.2518035829939341,-0.1157171810416083,0.38904291243626266,-0.6707201269733198,-0.7955022459122758,-0.8824676385935576,-0.7667782873074349,-0.7047561448427552,0.25786225410233526,-0.7373036403690548,-1.0980450610624184,-0.2150528628071309,-0.35090794755095966,-0.8498033080130234,-0.8509104796744716,-0.9450406233588643,0.47646752974877726,0.1388249118463052,-0.274525587990652,0.7643884879981078,-0.7266526000028893,0.2142502499239346,-0.4579452165722581,-0.10957958257972926,1.2662778414938494,-0.23225596799489973,-0.2994924950970377,-0.06649530520467982,-0.25612557127460417,-0.5150903629734359,0.09443948741630537,-0.06980443393457826,-0.9129511888955709,0.08491791067462161,0.06310015493389838,-0.2928564979693518,-0.051097136841818734,-0.045770818369676836,-0.6071274396932237,0.37778733425444105,0.025348870443098748,-0.08518568457674619,-0.33283354357863437,-0.2267359908452211,-0.1808524448282319,0,1.3341365940289038,0.26909212765087503,0.15313307320718397,0.11593454580798362,0.1091292738872509,0.14950562729188827,0.704852578343072,0.17251989769727527,0.3003440889462562,0.41366210532747577,0.28053932782674634,0.11979054920324121,-0.21864649533300154,-0.22353807517112603,1.1944659757641498,0.4991934354239079,0.3763893517890803,0.9467686636949034,0.09986723114822608,-0.22803781809656218,-0.16431913109678156,NaN,1.1317496742455595,0.443637145732204,0.17112346815992924,0.05669953114156783,-0.017513978816586864,0.14612958812952187,1.047283606398466,-0.07768024702366114,0.19219681216279885,0.3375358921333648,0.49717999191694934,0.09928560119815541,-0.3187188853989672,-0.3300342096340737,1.3348194323027067,0.9090278323687783,0.43799820186655897,1.4065184608634616,0.16565912633379323,0.5360182094711564,0.3320543049291667,-0.08838834764831895,0.9715358495691763,1.1330734209715319,7.9
"Al Jefferson",-0.2764507454597186,0.5491007630346868,1.0723697473218845,1.8278713332175913,"2010-11",-1.5004728310007531,0.26886819109948695,"UTA","No College",-0.18445262216444433,1.2024988903454255,1.6475948092346908,2.302027461446496,2.0507520770427177,0.9819095269655193,0.9921877206387189,2.357741043748339,0.01264168511123244,-0.1045850151211532,3.4246029061457253,0.21350066129311068,1.7940173044390852,-0.928832072658071,-1.011293199420429,2.2841336693881313,2.2259245192588804,2.3151058498194486,1.610531319918796,1.1167453354076078,-0.5770927730751845,3.407723811483359,-0.1157171810416083,0.6994750920503525,1.6816679786667503,2.911519974574574,2.4718844904250474,0.7494278297114271,0.7954038571474719,2.7344692172253486,0.42327483828275764,-0.25196554163751855,3.1318154176094777,0.4148892838525442,2.213221674435153,-0.8509104796744716,-0.9450406233588643,2.6847661406802352,2.606057154902995,2.0798545239735002,1.2117508242631634,1.2055827227320661,-0.7323338011135273,3.589603206573736,-0.10957958257972926,-1.0151445265607117,0.3198686697349824,1.8407727646092076,1.2126643817590292,-0.5180029717588097,-0.41050485905385586,1.4207811594767552,0.953465108970035,-0.3231146110949266,-0.23414258865623822,0.4476633039011216,1.2236475356168899,-0.051097136841818734,-0.045770818369676836,1.38780168526102,1.3204288452568183,0.025348870443098748,-0.34476725883816955,0.19942505710290076,-0.31480574172220394,-1.8472785436026542,0,3.612740197150686,4.136884568041817,5.315927330447572,5.009371333895437,2.783998537495804,3.4126253683692958,6.156576151300288,2.423472124908426,3.775754261038649,5.389578298350263,3.9087208470949983,4.5151691014694,-0.21864649533300154,-0.15442744198460653,5.5000320654425,6.303497987233896,4.480696885634979,4.442681743458525,3.679096038737546,-8.660801820470212,8.429127319505174,NaN,2.7983364103248447,4.411355968210453,6.012188326918008,5.512195074891279,3.6712680313975654,3.8513706992708023,6.260802040208273,2.1374333233668437,2.156955922159109,8.060102360075216,2.572203178745984,5.249665518942421,-0.3187188853989672,-0.3300342096340737,6.359258292374658,6.092527047638667,5.855036642670082,4.1654353475814325,4.250032944201789,-2.117271927411068,9.381703319548006,-0.08838834764831895,4.896819454684991,4.584668204768415,23
"Andray Blatche",-0.7627527386093141,0.5827938017685418,0.8426652627845683,1.3952192194835191,"2010-11",-1.5004728310007531,0.020534086193755532,"WAS","South Kent School",1.9333725108545408,0.45850677113890326,1.4354687247082423,1.6943298982952042,1.8072359935846745,1.514653950868902,1.5445837933664455,1.7718885157559108,0.30736048860803605,2.050856450363917,0.8660675303187068,2.125478484245299,1.4838687825072177,-0.7823536651117493,-0.8447053156907016,2.2841336693881313,1.4581591102096947,2.6502895250458325,1.4723939926119312,1.5057466358601228,-1.211867486045615,1.3165653003534774,-0.1157171810416083,-0.2318214467919171,1.1099720645470519,2.1171580701845345,1.9477669702658909,1.9768327815838391,2.2378653975226896,1.8239519513712996,0.3680091964421951,2.286273016637181,0.6774453453039646,1.9464837466595524,1.9347648578489551,-0.8509104796744716,-0.8915868494272828,3.3472557239596736,0.9948034451516874,2.668449551964538,0.8762290720643716,1.8001166681889755,-0.6140107947338446,1.2767183933474535,-0.10957958257972926,-1.0151445265607117,-0.5012397658633039,1.1822296077765166,0.46021750707449455,1.1842001313885264,1.7857907232573267,0.3154964327597137,0.1348494746463444,0.5616402556060399,-0.23414258865623822,-0.12918141954971324,1.1926984737069668,-0.2922506973025974,-0.3547238423649955,3.1610720185536807,-0.9419107811488869,0.34180089823275084,-0.7341396202303047,0.8647483079548197,0.5365351834219635,-0.8950350585886987,0,3.8716724247781613,3.764508843966572,4.498651019455849,4.418217896408362,2.6676998738606494,2.973886579653006,4.384994286721226,3.0693975466298866,5.191662108928143,3.845328445343191,5.3230966935894015,3.9349938205520627,0.389430076264749,0.5366788898805884,4.798384258235658,4.1425880675124285,6.734042198334688,4.743654392709698,3.64383270073174,-4.721041302462641,3.76411353203554,NaN,2.0666641847290608,3.1459451379111742,3.785160253679142,3.89343328240161,3.6712680313975654,3.764188555479243,4.018068588745948,2.0541583771115612,5.076026599867912,2.473564915181111,4.476676514602769,3.5856399844031728,-0.13930912736347584,-0.04993938698410324,4.874764992807945,3.5877489033471774,5.032195360522711,3.0774117866222324,3.7759538403421105,-3.1089056149327075,4.210475311194383,-0.08838834764831895,3.764989212719081,3.385177818909924,8.9
"Andres Nocioni",0.9393042374142703,-2.2137284131414265,-2.1434930362005433,-1.2006934629209132,"2010-11",-1.5004728310007531,0.26886819109948695,"","Santa Fe, Argentina",-1.11878723967282,0.04517781602416867,-0.33578408108760316,-0.40923858953619086,-0.3844087575377143,-0.38800470592889447,-0.48086847330188537,-0.22001007941834505,-0.576795921882375,-0.8230655036161765,-0.29690309505721113,-0.3327787166932288,-0.3597918756433279,0.2429951877125026,0.21035128126423813,-0.603491216451431,0.032309064832634495,-0.36636355199162984,0.22915804685014757,-0.43925986640245235,-0.788684344065328,-0.2518035829939341,-0.1157171810416083,-0.33529883999661375,-0.5863715494802496,-0.5748461613594872,-0.5470324256916972,-0.6223777047342101,-0.6470576832277464,-0.506972249215066,-0.5715067148473674,-1.0980450610624184,-0.6613019668626786,-0.6061736913521277,-0.5713464914268256,0.10676151427573342,-0.14323401438514216,-0.627681775716952,-0.36469187245097856,-0.5688231019861709,0.09334498360052502,-0.578019113638662,-1.057722068657655,-0.4579452165722581,-0.10957958257972926,-0.4936765567196692,-0.7985376477178558,-0.628764073513383,-0.6308304612180811,-0.7798803722430153,-0.619675866893016,-1.010845239300736,-0.2744583425155009,-0.6180328999952488,-0.553203087987098,-0.7060261430005481,-0.6951943027983548,-0.2922506973025974,-0.9726298903556327,-0.16380985637005846,-1.1304390833493623,-0.29110315734655334,-0.2149764717074579,-0.5989628439194019,-0.5203018271018306,-0.1808524448282319,0,3.560953751625191,2.365151873002348,2.066755655041459,2.485239989704593,0.9564481089433763,1.122957314756157,1.764148950977975,1.209915271977197,1.7806113844670903,1.2715786903314046,1.7871570773533934,2.069620132539357,4.271765110311925,4.078598840689712,0.7798559078691977,2.1198758752150084,2.8711645194209012,3.400853342204466,1.5280324203833737,-2.5918941289011044,-0.16431913109678156,NaN,1.6601796149536254,1.1022812201484355,0.7767188214090945,0.8526652744099683,0.5639688996408165,0.5384492351915399,1.0305467895965084,0.40531444125697524,0.3606047358767683,0.5018458169831914,0.9235546193475729,0.8282171406644632,1.5650835739736921,1.5061429610712882,0.19290150955908142,1.3496832466422812,0.7122786292490159,1.4842344295034045,0.7309072886280247,-1.7286587255444794,0.3320543049291667,-0.08838834764831895,1.0919433221187411,1.4757849597882438,0.8
"Andrew Bogut",-0.2764507454597186,0.6164868405023969,0.8426652627845683,1.8278713332175913,"2010-11",-1.5004728310007531,0.020534086193755532,"MIL","Utah",-1.0564982651722616,0.4998396666503767,1.5839569838767562,1.1801242679364183,1.010274265903806,0.06863337170257673,0.869433037810335,2.904536736541272,0.13052920650995392,0.13490848104385453,5.052761781672011,1.0329197282726197,0.7946498448808456,-0.928832072658071,-0.9557639048438531,2.515143660255297,2.8840091555867544,0.6391874736875243,2.1630806291462554,1.583546895950626,0.19874298722200814,2.048470779248936,-0.1157171810416083,0.07861073282217276,1.3630177970262622,1.1462712981522643,0.8785672291412103,0.02742491684530224,0.27611770261239316,2.3338416202495673,0.25747791276107024,0.5941139777873813,3.3549399696372513,1.5635851309578002,0.7390385278023408,-0.8509104796744716,-0.8915868494272828,1.8014466963076523,2.4550021196138108,0.019771926004867088,1.8827943286607458,1.1312659795499524,0.4508962626833001,1.2767183933474535,-0.10957958257972926,-0.6892270454100602,-0.2747270939741215,-0.134856705888865,-0.36747405507849373,-0.1251868710325014,-1.5609454021692373,-1.158216536196342,0.1348494746463444,0.5616402556060399,-2.786626583303117,1.0245080273519565,-0.16906025032965857,-0.051097136841818734,-0.045770818369676836,-1.7154213980011368,-0.6591183278481738,-0.6075551851362055,-0.08518568457674619,-1.131221444600937,0.44846543254498067,-2.561461157363121,0,3.2502350784722207,3.716738721921318,4.448817098053915,4.000657135008761,2.252347503735098,3.015018341095158,6.138312420737617,2.227737148629196,2.2311275178864745,9.79355010137043,3.754984342041259,3.7587380390075547,-0.21864649533300154,-0.18898275857786628,6.393038365523936,5.926595094259221,4.8830799771884985,4.836261361710059,4.930944537943663,3.7620175150345085,8.920181402396713,NaN,2.107312641706604,3.3525021066145597,3.2088679013936456,2.932013985757194,1.4180218773751276,2.8051849737720875,5.64153981853584,1.8376435168478278,2.213091896730432,8.88165198432435,3.140702681986815,2.679997768702609,-0.3187188853989672,-0.26779091571185804,5.331532161905396,5.651871633365164,2.0836807661613,3.7574265122217323,4.049461015645771,0.2680091047355782,6.020405114118151,-0.08838834764831895,4.24661910291734,4.976338534844658,16.3
"Anthony Tolliver",-0.2764507454597186,0.48171468556697666,0.612960778247252,0.5299149920153751,"2010-11",-1.5004728310007531,-0.7244682285234386,"POR","Creighton",-1.11878723967282,0.4998396666503767,0.06725547951264921,-0.40923858953619086,-0.4508222348444533,0.14473971797448867,0.07152759942584115,0.3267856133745879,-0.2820771183855713,-0.5835720074511687,-0.06430896998202748,-0.46934856118981366,-0.25640903499937195,0.0965167801661808,-0.01176589704206504,0.5515587378843939,0.1968302239146031,-0.36636355199162984,0.6435700287707425,0.4165429945930808,-0.29497067842165986,-0.14724565743744003,-0.1157171810416083,0.8029524852550491,0.5101599579296634,-0.17766520916446746,-0.25352661440256913,0.31622608199175223,0.27611770261239316,0.5128070885414691,-0.07411593828230478,-0.6750053013499685,0.008071689220643056,-0.35090794755095966,-0.030812670994794445,0.10676151427573342,0.01712730740960231,0.9181272519350688,0.2898799471354904,-0.5688231019861709,0.7643884879981078,0.6853655204572704,-1.2056258266322586,0.4093865883875978,-0.10957958257972926,0.22334190181176428,0.9144644334440863,0.5236864509438258,0.34735047587181433,0.3985679299359098,0.5307646762223652,0.46286772965531925,0.5441572918081895,-0.6180328999952488,0.08491791067462161,0.25538172941751003,0.5427681735985774,-0.051097136841818734,0.05721352296209606,1.1661428935994373,0.09499488095372793,-0.29110315734655334,0.17439588968467723,0.8647483079548197,-1.5477822539999637,1.0094519114392129,0,2.0591468313858345,2.275925467852929,1.658117499545598,1.837786224837797,1.4880991427040824,1.6028278649145993,2.6590717485488415,1.4447972435122736,1.7806113844670903,1.671939763333238,1.1414637561276875,1.7171085694503414,2.120109549273731,2.4026659859166144,2.4382961794490066,2.6977936444428425,1.1811555348961191,2.6599975902015793,1.6867174414095012,-0.14421312622406068,2.7820053662524598,NaN,2.107312641706604,1.812964532464801,1.001375162130559,1.013647110127173,1.5815639369412722,1.5555742460930677,2.0849662481198403,1.021549043546063,1.1465083798752922,1.2138554913324402,0.980404569671656,1.2221346897699932,1.7893457715180563,1.4594604906296265,2.2769017185661977,1.964281587602693,0.8494188429402443,2.3585390767027614,2.1713784118939694,-0.9380318665745238,0.5906157053468479,-0.08838834764831895,1.8143881574161302,3.3117396320206285,5.1
"Antoine Wright",-0.03329974888492083,-2.2137284131414265,-2.1434930362005433,-1.2006934629209132,"2010-11",-1.5004728310007531,0.020534086193755532,"","Texas A&M",-0.18445262216444433,-1.8974682730150838,-1.6827847178305515,-1.3909038838575085,-1.2699217882942349,-1.0729618223761013,-1.1560192288579958,-1.2745446298047158,-1.048346007477261,-1.302052495946192,-0.9946854702827618,-1.4253374726659076,-1.3591593352015674,-0.928832072658071,-0.6781174319609744,-0.7189962118850136,-1.4483813669050813,-1.371914577670784,-1.8429018627528253,-1.2172624673074826,-1.0708064387188525,-0.4609194341069223,-0.1157171810416083,-1.887459738067063,-1.8047398910468198,-1.3250768488389686,-1.3856204579463485,-0.9833791611672724,-1.0509469145328074,-1.2718067525324672,-0.9583662077313048,-1.3095649409186432,-0.8844265188904525,-1.3719709227556318,-1.3084380647432317,-0.8509104796744716,-0.9450406233588643,-0.9589265673566708,-1.3213737626158175,-1.157418129977209,-1.8079449455259597,-1.1725530590955713,0.09592724354425183,-0.4579452165722581,-0.10957958257972926,0.6144428791925461,-0.6003390598148212,-0.134856705888865,-0.4427187425469473,0.005751829209601417,0.00783715662446466,-0.2739887548227085,-0.06980443393457826,-0.3231146110949266,0.08491791067462161,-0.12918141954971324,-0.13811118841973524,-0.051097136841818734,-0.6636768663603141,-0.6071274396932237,-0.09353342124674752,0.025348870443098748,-0.4745580459688813,-0.0667042432378668,1.0062405214325387,0.29526929767874593,0,3.1466621874212306,2.2119993461643066,1.3491471868536058,1.603201527422291,0.6573944024529791,0.8213243975137076,1.4719292619752433,1.131621281465505,1.6518924892044091,0.41366210532747577,1.5104313682566624,1.3352210427705749,2.4943105164108084,2.7654968101458417,0.971214400743791,1.642465544113754,1.4225853898282308,2.7989080437021205,0.8580289982730575,0.0066713191464419785,-0.16431913109678156,NaN,-0.2502978629909205,-0.3788007181362848,-0.3660982161740078,-0.35022677581025485,-0.3264267579970824,-0.34790256002264885,-0.35860900496597625,-0.34416007504056395,-0.36916293355043256,-0.3197038072659417,-0.3839942381063393,-0.36826139633831473,-0.3187188853989672,-0.26779091571185804,-0.29241360760695934,-0.3781498251143483,-0.38484308028081154,-0.4003778100152094,-0.36312141258661684,-0.18760637331490476,-0.18506849590619553,-0.08838834764831895,-0.545598304555341,1.2309910034905924,0
"Boris Diaw",0.4530022442646747,0.48171468556697666,0.7278130205159101,1.3952192194835191,"2010-11",-1.5004728310007531,0.5172022960052183,"SAS",?,0.189281224838906,1.2024988903454255,1.4354687247082423,0.7126646039738862,0.5675177505255455,-0.3118983596569826,-0.23535910764511808,0.5220697893720639,1.3683481811965295,0.6138954733738702,0.4008792801683395,1.1694895727692047,0.536192743270956,0.535952002805146,0.5435270487236925,0.4360537424508115,0.580712928439196,-0.031179876765244998,0.7817073560776069,0.02754169414056559,-0.8944801295603997,0.061870193675548135,0.6306586366767652,0.8029524852550491,1.3067854120308826,0.749090345957245,0.6269908194648147,-0.18917595701453507,-0.12777152869266778,0.4399657072731451,1.9154471679779452,0.5941139777873813,0.008071689220643056,0.7977878995542963,0.542480774917966,0.24357179912576285,0.2843961770675096,0.14522273810905842,0.5416383392841323,0.31406944000038606,0.4288667357993165,0.31378180454670207,-1.235206578227179,-0.1688346149189728,-0.10957958257972926,-0.8847775341004511,-0.10484259005723463,0.029779083319307727,0.04637172599800041,0.1366905294517042,0.11242266054404479,-0.34767440327051125,1.5674268347128029,-0.02819632219460444,-0.553203087987098,-0.8983077174841597,-0.045264002689965346,-0.5334042577633761,-0.6636768663603141,-0.8287862313548064,-0.09353342124674752,0.6582529260224029,-0.604348833099593,0.7316836577844359,-0.6670847452301352,-0.41891331608172083,-2.839454172900137,3.9234588703036564,4.933018325032132,3.4521386700152306,3.357895064090275,1.6542400907543031,1.781065497830592,3.60878573780772,6.103289678957959,3.5826759181446275,3.0446062993395238,5.2001074895464106,3.13449881270409,2.8685114835478855,3.3356595339346273,3.9372710402999878,3.413909141094724,2.146874954624566,4.766806134959788,2.5506692225517504,2.6555315823174888,1.063316076132069,NaN,2.7983364103248447,4.144372887278128,3.3456152392241023,3.0751089508391534,1.1999657979536014,1.4393313877043217,3.08080684783632,5.2685713025654515,3.7287632101561567,2.1997150404314,4.306126663630519,3.0260561763280274,3.179771396293114,3.186711896971111,2.648025043457876,3.1934782695235167,1.6722601250876148,3.232843723902118,2.134910788520148,-3.055303793985592,1.10773850618221,11.313708498984825,3.0425443774216916,3.238301445131334,10.3
"Brandon Roy",-0.2764507454597186,0.4143286080992666,0.2798892756681434,-0.7680413491868411,"2010-11",-1.5004728310007531,-0.22780001871197586,"POR","Washington",-0.7450533926694698,-0.24415245255614554,0.7990904711288966,0.6191726711813801,0.9438607885970667,0.8296968344216954,0.6239236721535677,-0.4152942554158211,0.5431355314054793,0.3744019772088625,-0.29690309505721113,0.07693081679652569,0.6912670042368896,0.2429951877125026,0.3214098704173895,-0.37248122558426605,-0.4064140260526146,0.3040037984611397,-0.18525393507044674,1.1167453354076078,0.7277219146973667,-0.3563615085504282,-0.1157171810416083,0.5959976988456559,0.13527739129379568,0.0429908753883212,0.24962620495022161,-0.11697566572792269,-0.18546999030767655,-0.470551558580904,0.25747791276107024,-0.25196554163751855,-0.6613019668626786,-0.35090794755095966,0.0019469544859347435,-0.1668590554243251,0.01712730740960231,-0.1860220535306604,-0.566098586169892,-0.274525587990652,-0.13033618453200255,0.2394650613645883,0.5100577658731414,-0.4579452165722581,-0.10957958257972926,1.1359108490335887,-2.0302003011152854,-2.2751219655951105,-2.587192335397871,-3.529593077327174,-3.025142457043359,-0.5687313486139196,-1.1954009311296527,-1.7977060555965374,-0.8722635873179578,-1.4751524409349945,-2.706883326943369,-1.4980184996064907,-1.3845672556827244,0.5011665186146894,-0.8476466300486493,-1.5569112685051618,-0.34476725883816955,-3.2602558473270773,-0.19737940721956015,0.057208426425257024,0,3.0430892963702405,4.056700610597873,4.628219215100879,4.6011939603924565,5.475481895909378,5.7982675320141235,2.3394564637021036,5.711819726399499,3.647035365775968,0.6996343003287854,3.6934897400197633,4.871352660007259,3.195937329792828,3.5948244083840755,2.0874722758455855,2.396271330063103,3.3540242292851246,2.845211528202301,5.812527988088816,4.130846159273515,0.08120791034898855,NaN,1.3756404161108207,1.7261784961755942,1.6655765173070631,1.9527078184775328,1.7996200163627984,1.6572867471832207,0.6288631863495249,1.804333538345715,1.6517321510172005,0.3375358921333648,1.1509544206439053,1.7338593563650273,1.3856738159382005,1.4438996671490727,0.44983304217639714,0.688700125232027,1.3294095908595438,1.0179386176637473,2.317248905389255,1.219441426546881,0.07349290451148559,-0.08838834764831895,2.0070401134954343,4.584668204768415,0
"Brendan Haywood",0.9393042374142703,0.6164868405023969,0.8771209354651658,1.8278713332175913,"2010-11",-1.5004728310007531,1.013870505816681,"WAS","North Carolina",0.1269922503383476,0.7891699352306909,-0.1979021261454115,-0.5962224551212039,-0.8271652729159745,-0.38800470592889447,0.37841430649680036,0.6001834597710545,-0.8715147253791788,-1.0625589997811842,1.3312557804690737,-0.6059184056863987,-0.6527099241345359,-0.928832072658071,-1.011293199420429,1.013578719618724,0.36135138299657144,-0.031179876765244998,0.3672953741570126,0.26094247441207463,0.057681939895245844,-0.2518035829939341,-0.1157171810416083,0.18208812602686938,0.2289980329527626,-0.39832129371725616,-0.6518559297235286,-0.11697566572792269,0.7954038571474719,1.1683795199563842,-0.6820379985284923,-0.46348542149374344,2.0161926574706084,-0.2232750756503757,-0.4239281767635443,-0.8509104796744716,-0.8915868494272828,1.5806168352145062,0.894100088292231,-0.274525587990652,0.20518556766678894,0.6110487772751567,0.36215400789853797,-0.1688346149189728,-0.10957958257972926,-1.0151445265607117,0.6737947195618299,0.2767327671315668,0.15923875720068062,0.5295066301780126,1.0536921958202659,1.4944668079245582,0.23717642893680568,0.5616402556060399,1.361159907998061,0.4476633039011216,0.3570738021390376,-0.051097136841818734,0.05721352296209606,1.6094604769226024,1.2261646941565807,-0.29110315734655334,-0.34476725883816955,0.7316836577844359,0.44846543254498067,0.29526929767874593,0,3.664526642676181,3.9422038737852896,2.4853605948177067,2.034837370666822,2.302189788150164,3.1247030382742307,6.266158534676312,0.5835633478836594,1.3944546986790467,8.821244638365977,2.771070709697326,2.3229878185095862,-0.21864649533300154,-0.20626041687449614,8.625554115727525,5.223043027373162,4.480696885634979,4.535288712458886,3.5027793487085157,0.7778584843734557,4.5006946563728505,NaN,2.391851840549409,1.7618364340532675,0.8743954912879922,0.6111925208341614,0.8365389989177243,2.2239706818283573,2.7628073285991253,-0.02771527927049186,0.47287668501941454,3.7332743390297822,1.037254519995739,0.8024468337136341,-0.3187188853989672,-0.3144733861535198,3.333175797104051,2.4745141725509594,1.397979697705158,2.377968068862747,2.262547470328523,-0.026800910473557822,0.3320543049291667,-0.08838834764831895,1.3568397617277836,3.654451170837341,9.2
